Symbol,Period Ending,Next Period Start Opening Price (Period Ending + 1 Day),Next Period End Closing Price (Period Ending + 1 year),Price Percentage Change,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,Sales General and Admin.,Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income-Cont. Operations,Net Income,Net Income Applicable to Common Shareholders
CTIC,12/31/2019,1.62,3.22,98.76543209876543,3345,0,3345,24107,19155,794,0,-40711,1690,-39021,1002,-40023,0,0,3,-40020,-40020,-40020
CTIC,12/31/2018,0.7446,1.58,112.19446682782703,26290,0,26290,36467,22062,660,0,-32899,4756,-28143,1209,-29352,0,0,32,-29320,-29320,-29400
CTIC,12/31/2017,2.67,0.7336,-72.52434456928839,25146,364,24782,32866,31435,0,0,-39519,560,-38959,1872,-40831,0,0,161,-40670,-40670,-45020
CTIC,12/31/2016,4.21,2.7,-35.86698337292161,57405,1377,56028,64961,40229,0,0,-49162,-1177,-50339,2614,-52953,0,0,944,-52009,-52009,-52009
YUM,12/31/2019,100.9,108.56,7.5916749256689755,5597000,1548000,4049000,0,2119000,0,0,1930000,-71000,1859000,486000,1373000,79000,0,0,1294000,1294000,1294000
YUM,12/31/2018,91.09,100.73,10.582939949500494,5688000,1396000,4292000,0,1996000,0,0,2296000,-5000,2291000,452000,1839000,297000,0,0,1542000,1542000,1542000
YUM,12/31/2017,82.15,91.92,11.892878880097376,5878000,237000,5641000,0,2880000,0,0,2761000,-42000,2719000,445000,2274000,934000,0,0,1340000,1340000,1340000
YUM,12/31/2016,63.56,81.6,28.38263058527374,6356000,201000,6155000,0,4473000,0,0,1682000,-30000,1652000,307000,1345000,327000,0,0,1018000,1643000,1643000
NSSC,6/30/2019,30.06,23.39,-22.18895542248835,102932,59042,43890,7212,23212,0,0,13466,0,13466,21,13445,1222,0,0,12223,12223,12223
NSSC,6/30/2018,14.55,24.85,70.79037800687284,91746,53751,37995,6630,22951,0,0,8414,0,8414,81,8333,684,0,0,7649,7649,7649
NSSC,6/30/2017,9.4,15.05,60.1063829787234,87374,51073,36301,6723,23200,0,0,6378,0,6378,83,6295,696,0,0,5599,5599,5599
BPMP,12/31/2019,15.75,10.6,-32.698412698412696,128468,1754,126714,0,37637,1000,2630,85447,0,202194,15127,187067,0,116747,-19183,284631,167884,167884
BPMP,12/31/2018,15.47,15.61,0.904977375565603,116439,2737,113702,0,35686,0,2658,75358,0,169719,4043,165676,0,94361,-32619,227418,133057,133057
BPMP,12/31/2017,20.45,15.54,-24.009779951100246,108151,4898,103253,0,24125,0,2673,76460,30,94401,107,94294,25318,17916,-8099,78793,21775,21775
BPMP,12/31/2016,16.85,20.3,20.47477744807121,103003,2918,100085,0,22666,0,2604,74815,520,75335,0,75335,29465,0,0,45870,45870,45870
BBD,12/31/2019,8.2,5.26,-35.853658536585364,39251997,0,0,0,16712838,0,4939542,0,0,17898194,0,3326392,-1937040,298576,0,5562008,5263432,5263432
BBD,12/31/2018,7.6364,8.1364,6.547587868629197,37163237,0,0,0,12889381,0,5437165,0,0,19270253,0,5016323,694982,433561,0,4754903,4321341,4321341
BBD,12/31/2017,7.2314,7.4924,3.6092596177780254,50279777,0,0,0,14391813,5083005,1377278,0,0,29945728,0,7157927,1938125,518046,0,5737848,5219801,5219801
BBD,12/31/2016,5.6286,7.314,29.94350282485877,57581134,0,0,0,14489049,4716342,1124040,0,0,37773940,0,9802887,4274658,522237,0,6050466,5528229,5528229
FULT,12/31/2019,17.49,12.72,-27.272727272727263,1041466,131775,0,0,560288,0,40273,0,0,309130,45142,263988,37649,0,0,226339,226339,226339
FULT,12/31/2018,15.26,17.43,14.220183486238533,954039,87712,0,0,534655,0,58356,0,0,273316,40346,232970,24577,0,0,208393,208393,208393
FULT,12/31/2017,18.1,15.48,-14.475138121546966,876840,57791,0,0,514551,0,34333,0,0,270165,35711,234454,62701,0,0,171753,171753,171753
FULT,12/31/2016,19.1,17.9,-6.28272251308902,793278,44693,0,0,489519,0,13182,0,0,245884,37635,208249,46624,0,0,161625,161625,161625
HBNC,12/31/2019,18.98,15.86,-16.438356164383567,251390,33690,0,0,122032,0,1976,0,0,93692,13851,79841,13303,0,0,66538,66538,66538
HBNC,12/31/2018,15.58,19,21.95121951219512,200581,18225,0,0,102516,0,2906,0,0,76934,13374,63560,10443,0,0,53117,53117,53117
HBNC,12/31/2017,18.54,15.78,-14.88673139158576,161619,7901,0,0,94813,0,2470,0,0,56435,8482,47953,14836,0,0,33117,33117,33117
HBNC,12/31/2016,19.0867,18.1467,-4.924895345973905,141984,6616,0,0,86892,0,1842,0,0,46634,13921,32713,8801,0,0,23912,23912,23870
UTSI,12/31/2019,2.95,1.38,-53.22033898305085,65623,41466,24157,14467,15827,0,0,-6137,2209,-3928,16,-3944,-31,0,0,-3913,-3913,-3913
UTSI,12/31/2018,2.72,2.95,8.455882352941176,115944,83676,32268,12745,15156,0,0,4367,735,4489,47,4442,-378,-613,0,4207,4820,4820
UTSI,12/31/2017,5.63,2.719,-51.70515097690942,98292,65146,33146,9853,16777,0,0,6516,2463,8292,48,8244,1263,-687,0,6294,6981,6981
UTSI,12/31/2016,1.98,6.05,205.55555555555557,86512,58156,28356,8502,18146,0,0,1708,-1717,975,55,920,788,984,158,1274,290,290
EPAM,12/31/2019,214.12,358.35,67.35942462170746,2293798,1488198,805600,0,457433,0,45317,302850,-3324,299526,0,299526,38469,0,0,261057,261057,261057
EPAM,12/31/2018,113.79,212.16,86.4487213287635,1842912,1186921,655991,0,373587,0,36640,245764,4009,249773,0,249773,9517,0,0,240256,240256,240256
EPAM,12/31/2017,107.62,116.01,7.795948708418509,1450448,921352,529096,0,327588,0,28562,172946,1359,174305,0,174305,101545,0,0,72760,72760,72760
EPAM,12/31/2016,64.68,108.4,67.5943104514533,1160132,737186,422946,0,265863,0,23387,133696,-7230,126466,0,126466,27200,0,0,99266,99266,99266
SNPS,10/31/2019,136.4,215.78,58.19648093841642,3360694,752946,2607748,1136932,862108,47186,41291,520231,25275,545506,0,545506,13139,0,0,532367,532367,532367
SNPS,10/31/2018,89.55,135.75,51.59128978224456,3121058,735898,2385160,1084822,885538,12945,41630,360225,3318,363543,0,363543,-68975,0,0,432518,432518,432518
SNPS,10/31/2017,87.07,89.53,2.825312966578624,2724880,654184,2070696,908841,746092,36586,31614,347563,35535,383098,0,383098,246535,0,0,136563,136563,136563
PLUG,12/31/2019,3.21,33.91,956.3862928348908,230239,202273,27966,33675,44333,0,0,-50042,79,-49963,35502,-85465,0,0,0,-85465,-85465,-85517
PLUG,12/31/2018,1.24,3.16,154.8387096774194,174632,172010,2622,33907,38198,0,0,-69483,4286,-65197,22135,-87332,-9217,0,0,-78115,-78115,-78167
PLUG,12/31/2017,2.38,1.24,-47.89915966386554,100153,128242,-28089,28693,45010,0,0,-101792,-15188,-116980,10100,-127080,0,0,0,-127080,-127080,-130178
PLUG,12/31/2016,1.2,2.42,101.66666666666667,82819,78873,3946,21177,34288,0,0,-51519,4344,-47175,10704,-57879,-392,0,0,-57487,-57487,-57591
NYT,12/30/2018,22.62,32.15,42.13085764809902,1748598,654176,1094422,0,845591,4504,59011,190167,-3423,192657,16566,176091,48631,10764,-1776,127460,127460,125684
NYT,12/31/2017,18.6,22.29,19.83870967741934,1675639,616342,1059297,0,815065,10090,61871,176591,-59905,131007,19783,111224,103956,18641,-2541,7268,6837,4296
NYT,12/25/2016,13.55,18.75,38.37638376383763,1555342,629355,925987,0,728338,16518,61723,112678,-17804,65331,34805,30526,4421,-36273,5236,26105,23832,29068
NYT,12/27/2015,13.7,13.65,-0.36496350364962726,1579215,617812,961403,0,763221,0,61597,136585,0,135802,39050,96752,33910,-783,404,62842,62842,63246
DXPE,12/31/2019,40.2,22.23,-44.701492537313435,1267189,919965,347224,0,281102,0,0,66122,45,66167,19498,46669,10894,0,260,36035,36035,35945
DXPE,12/31/2018,27.31,39.81,45.77077993409009,1216197,883989,332208,0,263757,0,0,68451,1192,69643,20937,48706,13185,0,111,35632,35632,35542
DXPE,12/31/2017,29.7,27.84,-6.262626262626261,1006782,735201,271581,0,238091,0,0,33490,456,33946,17054,16892,363,0,359,16888,16888,16798
DXPE,12/31/2016,35.38,30,-15.206331260599214,962092,697290,264802,0,245470,0,0,19332,5906,25238,15564,9674,2523,0,551,7702,7702,7612
FWONA,12/31/2019,43.96,37.99,-13.580527752502272,10292000,5248000,5044000,0,2429000,84000,1061000,1470000,-306000,1170000,657000,513000,166000,6000,-241000,112000,106000,106000
FWONA,12/31/2018,29.12,43.78,50.34340659340659,8040000,4051000,3989000,0,1570000,3000,905000,1511000,118000,1647000,606000,1041000,176000,18000,-334000,549000,531000,531000
FWONA,12/31/2017,32.96,29.72,-9.830097087378647,7594000,3820000,3774000,0,1556000,0,824000,1394000,-80000,1418000,591000,827000,-1063000,104000,-536000,1458000,1354000,1354000
FWONA,12/31/2016,31.52,33.03,4.790609137055843,5276000,2507000,2769000,0,1192000,-511000,354000,1734000,33000,1781000,362000,1419000,495000,14000,-244000,694000,680000,680000
CTDD,12/31/2019,25.66,25.76,0.389711613406085,8157000,2438000,5719000,0,1471000,0,1364000,2884000,26000,2910000,442000,2468000,641000,0,0,1827000,1827000,1827000
CTDD,12/31/2018,18.92,25.63,35.465116279069754,8493000,2767000,5726000,0,1630000,0,1436000,2660000,4000,2664000,505000,2159000,494000,0,0,1665000,1665000,1665000
CTDD,12/31/2017,22.98,18.98,-17.40644038294169,8550000,2881000,5669000,0,1773000,0,1583000,2313000,6000,2319000,528000,1791000,134000,0,0,1657000,1657000,1657000
CTDD,12/31/2016,24.875,21.91,-11.919597989949748,8910000,2934000,5976000,0,1961000,0,1691000,2324000,-24000,2300000,537000,1763000,678000,0,0,1085000,1085000,1085000
SIVB,12/31/2019,252.65,387.83,53.504848604789224,3530887,177672,0,0,1601262,0,106416,0,0,1645537,35135,1610402,425685,0,-47861,1136856,1136856,1136856
SIVB,12/31/2018,186.55,251.04,34.56982042347895,2714893,29306,0,0,1188193,0,87870,0,0,1409524,46615,1362909,351561,0,-37508,973840,973840,973840
SIVB,12/31/2017,235.89,189.92,-19.48789690109797,2022371,8676,0,0,1010655,0,92304,0,0,910736,36095,874641,355463,0,-28672,490506,490506,490506
SIVB,12/31/2016,174.66,237.38,35.90976754837971,1649948,5611,0,0,859797,0,106679,0,0,677861,37262,640599,250333,0,-7581,382685,382685,382685
AREC,12/31/2019,0.63,1.95,209.5238095238095,24478,26087,-1609,7237,16087,27688,7728,-59954,-7661,-67615,2909,-70524,0,0,0,-70524,-70524,-70918
AREC,12/31/2018,8.55,0.63,-92.63157894736842,31525,24992,6533,3815,10715,0,4307,-11497,836,-10661,1289,-11950,0,0,-151,-12101,-12101,-13023
AREC,12/31/2017,0.05,10,19899.999999999996,20821,16345,4476,6850,6900,250,3062,-12586,552,-12034,559,-12593,0,0,-343,-12936,-12936,-12989
AREC,12/31/2016,1001.05,0.05,-99.99500524449329,7601,8962,-1360,1761,14291,511,3928,-21851,45,-21806,284,-22089,0,0,-55,-22144,-22144,-22144
NXP,3/31/2009,13.05,13.2001,1.150191570881227,12762,690,12072,0,56,0,0,12016,-13685,11602,0,11602,0,0,0,-1669,-1669,-1669
NXP,3/31/2008,13.05,13.2001,1.150191570881227,12386,683,11704,0,47,0,0,11657,-7207,11510,0,11510,0,0,0,4450,4450,4450
NXP,3/31/2007,13.05,13.2001,1.150191570881227,13544,681,12863,0,52,0,0,12811,0,11475,0,11475,0,0,0,12811,12811,12811
NXP,3/31/2006,13.05,13.2001,1.150191570881227,13490,692,12798,0,47,0,0,12751,-1594,11425,0,11425,0,0,0,11158,11158,11158
GES,2/2/2019,19.05,21.7,13.910761154855637,2609694,1670090,939604,0,880453,6939,0,52212,-2097,50115,3407,46708,29542,0,-3067,14099,14099,14099
GES,2/3/2018,14.47,19.62,35.59087767795439,2363754,1534906,828848,0,753014,8479,0,67355,5347,72702,2431,70271,74172,0,-3993,-7894,-7894,-7894
GES,1/28/2017,12.21,19.39,58.8042588042588,2190453,1445413,745040,0,679809,40468,0,24763,30744,55507,1897,53610,28212,0,-2637,22761,22761,22761
PEI,12/31/2019,5.4,1,-81.48148148148148,336792,136558,200234,0,45621,5017,137784,11812,30333,42145,63987,-21842,0,8842,2128,-10872,-10872,-38247
PEI,12/31/2018,5.84,5.33,-8.732876712328764,362400,141232,221168,0,39485,137487,133116,-88920,9625,-79295,61355,-140650,0,14147,16174,-110329,-110329,-137704
PEI,12/31/2017,11.94,5.94,-50.25125628140703,367490,140305,227185,0,38803,55793,128822,3767,881,4648,58430,-53782,0,20934,6895,-25953,-25953,-57901
PEI,12/31/2016,19.14,12.47,-34.848484848484844,399946,156218,243728,0,38324,62603,126669,16132,23402,39534,70724,-31190,0,18477,3050,-9663,-9663,-25511
USWSW,12/31/2019,0.114,0.0254,-77.71929824561404,514757,383957,130800,0,31856,0,154149,-55205,-30855,-86060,30099,-116159,-77,0,22169,-93913,-93913,-109169
USWSW,12/31/2018,0.56,0.13,-76.78571428571429,648847,533031,115816,0,34497,0,108440,-27121,-10705,-37826,32636,-70462,352,0,4918,-65896,-65896,-65896
USWSW,12/31/2017,0.42,0.6,42.85714285714286,499354,422178,77176,0,18882,20247,97350,-59303,-12945,-72248,27028,-99276,0,0,0,-99276,-99276,-99276
USWSW,12/31/2016,0.775,0.5,-35.483870967741936,294755,262311,32444,0,9837,0,66084,-43477,-6551,-50028,45376,-95404,0,0,0,-95404,-95404,-95404
OPHC,12/31/2019,2.9,3.37,16.206896551724146,5356,1503,0,0,4541,0,-79,0,0,-609,543,-1152,-52,0,0,-1100,-1100,-1100
OPHC,12/31/2018,3,2.77,-7.666666666666667,4376,510,0,0,4088,0,-1754,0,0,1532,736,796,0,0,0,796,796,796
OPHC,12/31/2017,4.91,3,-38.90020366598778,4768,674,0,0,4161,0,0,0,0,-67,522,-589,0,0,0,-589,-589,-589
OPHC,12/31/2016,3.71,4.88,31.536388140161726,4620,728,0,0,3937,0,0,0,0,-45,351,-396,0,0,0,-396,-396,-396
MODV,12/31/2019,59.44,138.63,133.22678331090177,1509944,1401152,108792,0,67244,0,16816,24732,277,-4676,850,-5526,-573,-29685,0,-4953,966,-3437
MODV,12/31/2018,59.48,59.18,-0.5043712172158661,1384965,1253608,131357,0,77093,14175,15813,24276,6577,24695,1783,22912,4684,-6158,-156,18228,-18981,-25257
MODV,12/31/2017,59,60.02,1.7288135593220393,1318220,1197211,121009,0,69907,0,13618,37484,5363,56292,1204,55088,4003,13445,-451,51085,53369,42636
MODV,12/31/2016,38.06,60.19,58.14503415659483,1233842,1131963,101879,0,39527,1415,12780,48157,0,46368,1515,44853,17972,-1789,2082,26881,91928,76940
LBTYB,12/31/2019,22.74,24.5237,7.84388742304311,11541500,3238700,8302800,0,3749100,156000,3652200,745500,-317100,229900,1385900,-1156000,253000,-198500,-116800,-1409000,11521400,11521400
LBTYB,12/31/2018,21,22.74,8.285714285714278,11957900,3246100,8711800,0,3766300,248200,3858200,839100,810100,1640500,1478700,161800,1573300,-8700,-124700,-1411500,725300,725300
LBTYB,12/31/2017,36.15,21,-41.90871369294605,11276400,2973600,8302800,0,3639900,79900,3790600,792400,-1392200,-695000,1416100,-2111100,238900,-95200,-57500,-2350000,-2778100,-2778100
LBTYB,12/31/2016,31.45,36.15,14.944356120826708,13731100,3499400,10231700,0,4419400,124500,4117700,1570100,650900,2109400,1866100,243300,-1407000,-111600,-62000,1650300,1705300,1705300
WBK,9/30/2019,19.84,12.04,-39.31451612903226,24931000,0,0,0,6816000,536000,0,0,0,17579000,0,6575000,1996000,0,-4000,4575000,4575000,4575000
WBK,9/30/2018,19.96,19.99,0.1503006012023927,27548000,0,0,0,6921000,514000,0,0,0,20113000,0,8488000,2628000,0,-3000,5857000,5857000,5857000
WBK,9/30/2017,25.2,19.8,-21.428571428571423,29319000,0,0,0,7283000,669000,0,0,0,21367000,0,9035000,2760000,0,-5000,6269000,6269000,6269000
PLAB,10/31/2019,11.81,10.13,-14.225232853513969,550660,429819,120841,16394,52326,0,0,52121,5,52126,1425,50701,10210,0,-10698,29793,29793,29793
PLAB,10/31/2018,9.8,11.8,20.408163265306122,535276,403773,131503,14481,51395,0,0,65627,5206,70833,2262,68571,7335,0,-19181,42055,42055,42055
PLAB,10/29/2017,9.6,9.5,-1.041666666666663,450678,359363,91315,15862,43585,0,0,31868,-3068,28800,2235,26565,5276,0,-8159,13130,13130,13130
AGIO,12/31/2019,48.49,43.33,-10.64136935450609,117912,1317,116595,410894,132034,0,0,-426333,14861,-411472,0,-411472,0,0,0,-411472,-411472,-411472
AGIO,12/31/2018,44.84,47.75,6.4897413024085555,94387,1397,92990,341324,114145,0,0,-362479,16451,-346028,0,-346028,0,0,0,-346028,-346028,-346028
AGIO,12/31/2017,57.75,46.11,-20.155844155844157,43011,0,43011,292681,71124,0,0,-320794,6124,-314670,0,-314670,0,0,0,-314670,-314670,-314670
AGIO,12/31/2016,42.41,59.83,41.07521810893658,69892,0,69892,220163,50714,0,0,-200985,2514,-198471,0,-198471,0,0,0,-198471,-198471,-198471
PDM,12/31/2019,22.37,16.23,-27.44747429593205,533178,211380,321798,0,37895,8953,182681,92269,198581,290850,61594,229256,0,0,5,229261,229261,229261
PDM,12/31/2018,16.85,22.24,31.988130563798197,525967,209338,316629,0,29713,0,171251,115665,75649,191314,61023,130291,0,0,5,130296,130296,130296
PDM,12/31/2017,19.68,17.04,-13.414634146341466,574173,222441,351732,0,29319,46461,194655,81297,116531,201673,68124,133549,0,3845,15,137409,133564,133564
PDM,12/31/2016,20.93,19.57,-6.497849976110843,555715,220796,334919,0,27382,33901,202852,70784,93431,164215,64860,99355,0,362,15,99732,99732,99732
SBRA,12/31/2019,21.44,17.37,-18.98320895522388,580196,0,580196,0,138934,123481,181549,136232,69594,222166,126610,95556,3402,-6796,-22,148212,68996,68996
SBRA,12/31/2018,16.32,21.34,30.759803921568622,606742,0,606742,0,86004,41124,191379,288235,146428,437580,147106,290474,3011,-5431,-33,566639,279082,269314
SBRA,12/31/2017,18.74,16.48,-12.059765208110983,390621,0,390621,0,50261,48694,113882,177784,69672,248009,88440,159569,651,0,18,317399,158383,148141
SBRA,12/31/2016,24.49,19.09,-22.049816251531233,233063,0,233063,0,23375,36551,68472,104665,31462,136683,64873,71810,1049,0,71,141530,70276,60034
PRIM,12/31/2019,22.4,27.61,23.258928571428577,3106329,2775403,330926,0,190051,0,0,140875,-2869,138006,20097,117909,33812,0,-1770,82327,82327,82327
PRIM,12/31/2018,18.86,22.24,17.921527041357365,2939478,2613741,325737,0,182006,13260,0,130471,1633,132104,18746,113358,25765,0,-10132,77461,77461,77461
PRIM,12/31/2017,27.22,19.13,-29.720793534166056,2379995,2101561,278434,0,170372,1774,0,106288,7141,113429,8146,105283,28433,0,-4496,72354,72354,72354
PRIM,12/31/2016,23.09,27.48,19.01255954958857,1996948,1795641,201307,0,140027,3531,0,57749,36,57785,8914,48871,21146,0,-1002,26723,26723,26723
AUTL,12/31/2019,13.1,8.94,-31.755725190839694,2908,0,2908,105418,39452,4102,0,-146064,7056,-139008,0,-139008,-15159,0,0,-123849,-123849,-123849
AUTL,12/31/2018,32.36,13.2,-59.2088998763906,296,0,296,17713,7593,0,0,-25010,1757,-23253,0,-23253,-2605,0,0,-20648,-20648,-20648
AUTL,9/30/2018,30.64,12.42,-59.46475195822454,1407,0,1407,36150,22790,0,0,-57533,5502,-52031,0,-52031,-7280,0,0,-44751,-44751,-44751
AUTL,9/30/2017,28,30.64,9.42857142857143,1693,0,1693,16012,9099,0,0,-23418,38,-23380,0,-23380,-3653,0,0,-19727,-19727,-19727
USLM,12/31/2019,90.02,114,26.638524772272834,158277,116601,41676,0,11500,930,0,29246,1898,31144,244,30900,4844,0,0,26056,26056,26056
USLM,12/31/2018,71.76,90.3,25.836120401337777,144435,113949,30486,0,10484,0,0,20002,1809,21811,243,21568,1883,0,0,19685,19685,19685
USLM,12/31/2017,77.2,71,-8.031088082901556,144844,110464,34380,0,10153,0,0,24227,957,25184,241,24943,-2205,0,0,27148,27148,27148
USLM,12/31/2016,76,77.6,2.105263157894729,139282,106190,33092,0,9612,0,0,23480,384,23864,246,23618,5864,0,0,17754,17754,17754
PFE,12/31/2019,38.4146,36.81,-4.177057681194124,51750000,10219000,41531000,8650000,6264000,747000,4610000,21260000,-3578000,17682000,0,17682000,1384000,0,-29000,16298000,16273000,16273000
PFE,12/31/2018,42.1486,38.2973,-9.13743279729339,53647000,11248000,42399000,8006000,14455000,1044000,4893000,14001000,-2116000,11885000,0,11885000,706000,0,-36000,11179000,11153000,11153000
PFE,12/31/2017,35.5604,42.6666,19.983464752927418,52546000,11228000,41318000,7683000,14804000,351000,4758000,13722000,-1416000,12305000,0,12305000,-9049000,0,-47000,21353000,21308000,21308000
PFE,12/31/2016,31.9633,35.6191,11.437492374066515,52824000,12322000,40502000,7892000,14844000,1565000,4056000,12145000,-3794000,8351000,0,8351000,1123000,0,-31000,7229000,7215000,7215000
KSS,2/2/2019,66.63,42.88,-35.64460453249286,20229000,12199000,8030000,0,5601000,104000,964000,1361000,-63000,1298000,256000,1042000,241000,0,0,801000,801000,801000
KSS,2/3/2018,62.5,67.1,7.3599999999999905,20084000,12176000,7908000,0,5501000,0,991000,1416000,0,1416000,299000,1117000,258000,0,0,859000,859000,859000
KSS,1/28/2017,38.92,67.95,74.58890030832477,19681000,11944000,7737000,0,5430000,186000,938000,1183000,0,1183000,308000,875000,319000,0,0,556000,556000,556000
NTNX,7/31/2019,22.75,22.19,-2.461538461538456,1236143,304128,932015,500719,1029337,0,0,-598041,-15019,-613060,0,-613060,8119,0,0,-621179,-621179,-621179
NTNX,7/31/2018,49.42,22.7,-54.067179279643874,1155457,386030,769427,313777,736058,0,0,-280408,-9306,-289714,0,-289714,7447,0,0,-297161,-297161,-297161
NTNX,7/31/2017,21.43,48.89,128.13812412505834,845903,327331,518572,288619,578362,0,0,-348409,-26377,-374786,0,-374786,4852,0,0,-379638,-379638,-379638
ZNGA,12/31/2019,6.19,9.87,59.45072697899836,1321659,524089,797570,505889,563881,0,0,-272200,336506,64306,16971,47335,5410,0,0,41925,41925,41925
ZNGA,12/31/2018,3.9,6.12,56.923076923076934,907208,304658,602550,270323,325465,0,0,6762,19956,26718,255,26463,11006,0,0,15457,15457,15457
ZNGA,12/31/2017,3.94,3.93,-0.25380710659897937,861390,258971,602419,256012,320683,0,0,25724,11881,37605,22,37583,10944,0,0,26639,26639,26639
ZNGA,12/31/2016,2.6,3.92,50.76923076923076,741420,238546,502874,320300,276146,20677,0,-114249,9518,-104731,0,-104731,3442,0,0,-108173,-108173,-108173
KPTI,12/31/2019,19.28,15.48,-19.70954356846473,40893,2407,38486,122340,105421,0,0,-189275,5372,-183903,15647,-199550,40,0,0,-199590,-199590,-199590
KPTI,12/31/2018,9.17,19.17,109.05125408942206,30336,0,30336,161372,48847,0,0,-179883,3995,-175888,2493,-178381,26,0,0,-178407,-178407,-178407
KPTI,12/31/2017,9.69,9.37,-3.302373581011355,1605,0,1605,107273,24870,0,0,-130538,1617,-128921,0,-128921,63,0,0,-128984,-128984,-128984
KPTI,12/31/2016,9.55,9.92,3.8743455497382113,154,0,154,86938,23948,0,0,-110732,1294,-109438,0,-109438,139,0,0,-109577,-109577,-109577
MVIS,12/31/2019,0.7201,5.38,647.118455770032,8886,8564,322,18661,8133,0,0,-26472,-11,-26483,0,-26483,0,0,0,-26483,-26483,-26483
MVIS,12/31/2018,0.6,0.72,20.0,17607,10638,6969,24666,9523,0,0,-27220,-30,-27250,0,-27250,0,0,0,-27250,-27250,-27250
MVIS,12/31/2017,1.63,0.6039,-62.95092024539878,9634,9862,-228,15096,10156,0,0,-25480,-6,-25486,0,-25486,0,0,0,-25486,-25486,-25486
MVIS,12/31/2016,1.28,1.64,28.12499999999999,14761,10374,4387,12134,8711,0,0,-16458,-14,-16472,0,-16472,0,0,0,-16472,-16472,-16472
EBIX,12/31/2019,33.66,37.97,12.804515745692225,580615,205165,375450,45302,160007,0,14468,155673,-22550,133123,42332,90791,220,0,6149,96720,96720,96720
EBIX,12/31/2018,43,33.41,-22.30232558139536,497826,168415,329411,39078,126062,0,11292,152979,-296,152683,27101,125582,32501,0,58,93139,93139,93139
EBIX,12/31/2017,79.25,42.56,-46.29652996845426,363971,129494,234477,33854,76279,0,11123,113221,3522,116743,13383,103360,777,0,-1965,100618,100618,100618
EBIX,12/31/2016,57.4,77.25,34.58188153310105,298294,85128,213166,32981,69158,0,10746,100281,3026,103307,7376,95931,1637,0,-447,93847,93847,93847
DTSS,6/30/2019,1.3,2.0802,60.01538461538461,0,0,0,168,1331,0,0,-1499,74,-1425,0,-1425,0,0,0,-1425,-1425,-1425
DTSS,6/30/2018,17.95,1.3,-92.75766016713091,11,5,6,362,1306,0,0,-1661,58,-1604,0,-1604,0,0,0,-1604,-1604,-1604
DTSS,6/30/2017,1.74,17.96,932.1839080459771,141,85,55,204,1105,0,0,-1254,59,-1193,0,-1193,0,0,0,-1193,-1193,-1193
RVSB,3/31/2019,7.29,5.01,-31.27572016460906,60976,996,0,0,35516,0,233,0,0,24231,1819,22412,5146,0,0,17266,17266,17266
RVSB,3/31/2018,9.33,7.41,-20.578778135048232,55964,1208,0,0,35386,0,232,0,0,19138,1141,17997,7755,0,0,10242,10242,10242
RVSB,3/31/2017,7.2,9.06,25.833333333333336,45641,1151,0,0,32454,500,27,0,0,11509,718,10791,3387,0,0,7404,7404,7404
EQT,12/31/2019,10.97,12.71,15.861440291704652,3799850,1906537,1893313,0,370051,1717345,1574661,-1768744,371124,-1397620,199851,-1597471,-375776,0,0,-1221695,-1221695,-1221695
EQT,12/31/2018,18.52,10.9,-41.14470842332613,4736459,1892776,2843683,0,310551,3527260,1610405,-2604533,-243940,-2848473,228958,-3077431,-696511,0,-237410,-2380920,-2244568,-2244568
EQT,12/31/2017,31.3615,18.89,-39.76691165919997,2700999,1346132,1354867,0,361174,25117,976385,-7809,374393,366584,167971,198613,-1188416,0,-349613,1387029,1508529,1508529
EQT,12/31/2016,35.1243,31.9669,-8.989218290471266,1636045,1054361,581684,0,218946,20349,856451,-514062,-249041,-763103,131159,-894262,-362769,0,-321920,-531493,-452983,-452983
TILE,12/29/2019,16.62,9.99,-39.89169675090253,1343029,817575,525454,0,381604,12947,0,130903,-3431,127472,25656,101816,22616,0,0,79200,79200,79200
TILE,12/31/2018,14.08,16.59,17.826704545454543,1179573,755216,424357,0,327449,20529,0,76379,-5952,70427,15436,54991,4738,0,0,50253,50253,50253
TILE,12/31/2017,25.1,14.25,-43.227091633466145,996443,610422,386021,0,267151,7299,0,111571,-3904,107667,7128,100539,47293,0,0,53246,53246,53246
TILE,1/1/2017,18.75,25.05,33.60000000000001,958617,589973,368644,0,261703,19788,0,87153,-1887,85266,6130,79136,24974,0,0,54162,54162,54162
IGC,3/31/2019,2.11,0.49,-76.77725118483413,5116,4984,132,1256,3519,0,0,-4643,548,-4095,0,-4095,2,0,0,-4097,-4097,-4097
IGC,3/31/2018,0.56,2.02,260.71428571428567,2193,2111,82,137,1734,0,0,-1789,3,-1786,0,-1786,0,0,0,-1786,-1786,-1786
IGC,3/31/2017,0.4975,0.5412,8.783919597989954,580,362,218,0,2273,0,0,-2054,216,-1838,0,-1838,14,0,-14,-1867,-1867,-1867
ICAD,12/31/2019,7.75,13.2,70.32258064516128,31340,7113,24227,9271,21077,0,276,-6397,-6327,-12724,784,-13508,43,0,0,-13551,-13551,-13551
