Symbol,Period Ending,Next Period Start Opening Price (Period Ending + 1 Day),Next Period End Closing Price (Period Ending + 1 year),Price Percentage Change,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,Sales General and Admin.,Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income-Cont. Operations,Net Income,Net Income Applicable to Common Shareholders
KMB,12/31/2016,114.16,119.07,4.300981079187103,18287000,11596000,6691000,0,3308000,0,0,3383000,-55000,3328000,319000,3009000,922000,132000,-53000,2166000,2166000,2166000
NTRA,12/31/2019,33.86,99.52,193.9161252215003,302328,175470,126858,51357,206176,0,0,-116287,18540,-112135,10693,-122828,1999,0,0,-124827,-124827,-124827
NTRA,12/31/2018,13.65,33.69,146.8131868131868,257654,166055,91599,51355,154872,0,0,-114628,-2729,-117357,10476,-127833,321,0,0,-128154,-128154,-128154
NTRA,12/31/2017,9.08,13.96,53.74449339207049,209625,139596,70029,50064,155306,0,0,-135341,2380,-132961,4213,-137174,454,0,0,-137628,-137628,-137628
NTRA,12/31/2016,11.8,9.47,-19.745762711864405,212512,135574,76938,41862,136126,0,0,-101050,1398,-99652,533,-100185,142,0,0,-100327,-100327,-100327
NSTG,12/31/2019,28.17,66.88,137.4156904508342,125568,44039,81529,68035,96195,0,0,-82701,50761,-31940,8487,-40427,269,0,0,-40696,-40696,-40696
NSTG,12/31/2018,14.83,27.82,87.59271746459879,106732,36331,70401,61599,78195,0,0,-69393,-327,-69720,7431,-77151,249,0,0,-77400,-77400,-77400
NSTG,12/31/2017,7.53,14.83,96.94555112881805,114905,31880,83025,46888,74334,0,0,-38197,992,-37205,6153,-43358,204,0,0,-43562,-43562,-43562
NSTG,12/31/2016,22.5,7.8,-65.33333333333333,86489,30245,56244,34720,62700,0,0,-41176,-125,-41301,5672,-46973,116,0,0,-47089,-47089,-47089
GOGL,12/31/2019,5.79,4.63,-20.034542314335063,705799,302867,402932,0,208431,0,93845,100656,-4188,96973,59547,37426,237,505,0,37694,37189,37189
GOGL,12/31/2018,5.95,5.81,-2.3529411764705976,656070,254749,401321,0,163340,1080,92148,144753,14610,159875,75108,84767,232,512,0,85047,84535,84535
GOGL,12/31/2017,8.08,6.16,-23.762376237623762,460023,189602,270421,0,140875,1066,78093,50387,2541,57548,59840,-2292,56,4620,0,2272,-2348,-2348
GOGL,12/31/2016,4.7,8.44,79.57446808510637,256863,143577,113286,0,117626,2785,63433,-70558,-9274,-82355,45511,-127866,-155,-2523,0,-130234,-127711,-127711
ECF,9/30/2008,7.46,7.46,0.0,5393,1009,4385,0,248,0,0,4136,-28834,4136,0,4136,0,0,0,-24698,-24698,-24698
ECF,9/30/2007,7.46,7.46,0.0,18356,1083,17273,0,277,0,0,16996,0,4205,0,4205,0,0,0,16996,16996,16996
ECF,9/30/2006,7.46,7.46,0.0,11938,1097,10841,0,292,0,0,10549,-2795,4129,0,4129,0,0,0,7754,7754,7754
ECF,9/30/2005,7.46,7.46,0.0,12138,1165,10973,0,122,0,0,10851,0,3710,0,3710,0,0,0,10851,10851,10851
ENV,12/31/2019,70,82.29,17.557142857142868,900127,278811,621316,0,536118,0,101271,-16073,498,-15575,32520,-48095,-30893,0,420,-16782,-16782,-16782
ENV,12/31/2018,48.3,69.63,44.161490683229815,812363,263400,548963,0,457172,0,77626,14165,1876,16041,25203,-9162,-13172,0,1745,5755,5755,5755
ENV,12/31/2017,50,49.19,-1.6200000000000045,683679,219037,464642,0,385402,0,62820,16420,-1762,14658,16347,-1689,1591,0,0,-3280,-3280,-3280
ENV,12/31/2016,35.45,50.8,43.300423131170646,578164,180590,397574,0,357019,0,63999,-23444,-446,-23890,16600,-40490,15077,0,0,-55567,-55567,-55567
KNOP,12/31/2019,19.85,15.06,-24.13098236775819,282561,60129,222432,0,4858,0,89844,127730,-18029,109701,50735,58966,9,0,0,58957,58957,50801
KNOP,12/31/2018,17.8,19.81,11.292134831460663,279456,56730,222726,0,5290,0,88756,128680,3439,132119,49956,82163,-2,0,0,82165,82165,73581
KNOP,12/31/2017,20.75,17.93,-13.590361445783133,219203,46709,172494,0,5555,0,71583,95356,3406,98762,30714,68048,-16,0,0,68064,68064,61651
KNOP,12/31/2016,23.75,21.4,-9.894736842105269,173671,30903,142768,0,4371,0,56230,82167,-213,81954,20867,61087,-15,0,0,61102,61102,59846
ZKIN,9/30/2019,1.22,1.2,-1.6393442622950836,63884,48239,15644,1452,5545,0,0,8647,946,9593,1151,8442,248,0,-87,8107,8107,8107
ZKIN,9/30/2018,3.03,1.23,-59.4059405940594,54884,36594,18291,1653,7020,0,0,9618,123,9740,1239,8501,1398,0,-85,7018,7018,7018
ZKIN,9/30/2017,8.76,3.2,-63.470319634703195,44952,31843,13108,1331,3697,0,0,8080,94,8174,1245,6929,995,0,-59,5874,5874,5874
ZKIN,9/30/2016,7.61,8.65,13.66622864651774,36809,25333,11476,1302,2558,0,0,7616,210,7826,1418,6408,1105,0,-53,5250,5250,5250
LFC,12/31/2019,14,11.06,-20.999999999999996,104724000,86139000,18585000,0,8994000,0,2156000,7434000,1150000,8584000,0,8584000,112000,0,0,8472000,8472000,8472000
LFC,12/31/2018,10.32,13.83,34.01162790697674,91385000,80291000,11094000,0,8321000,0,1872000,900000,1128000,2028000,0,2028000,289000,0,0,1738000,1738000,1738000
LFC,12/31/2017,16.01,10.49,-34.47845096814491,98795000,82756000,16039000,0,8880000,0,1857000,5302000,1097000,6399000,0,6399000,1370000,0,0,5029000,5029000,5029000
LFC,12/31/2016,13.27,16.07,21.100226073850795,77816000,66823000,10993000,0,6869000,0,1536000,2588000,843000,3431000,0,3431000,613000,0,0,2818000,2818000,2818000
BHP,6/30/2019,58.92,49.73,-15.59742023082146,44288000,0,44288000,0,27823000,0,0,16465000,446000,16911000,1510000,15401000,5335000,-546000,-879000,9520000,8306000,8306000
BHP,6/30/2018,48.74,58.44,19.901518260155918,43129000,0,43129000,0,27408000,0,0,15721000,322000,16043000,1567000,14476000,6879000,147000,-1118000,7744000,3705000,3705000
BHP,6/30/2017,35.94,48.57,35.14190317195327,35740000,0,35740000,0,23625000,0,0,12115000,143000,12258000,1560000,10698000,4276000,272000,-332000,6694000,5890000,5890000
GECCN,12/31/2019,25.09,23.75,-5.340773216420885,19402,0,19402,0,8256,491,0,11146,-18484,298,7636,-7338,209,0,0,-7547,-7547,-7547
GECCN,12/31/2018,24.7,25.1,1.6194331983805754,22109,0,22109,0,6595,601,0,15514,-24339,-3180,5645,-8825,180,0,0,-9005,-9005,-9005
GECCN,12/31/2017,24.7,24.51,-0.7692307692307601,27689,0,27689,0,9990,655,0,17699,-20329,-591,2039,-2630,124,0,0,-2754,-2754,-2754
GECCN,12/31/2016,24.7,24.51,-0.7692307692307601,5411,0,5411,0,5318,214,0,5,-17879,-17454,420,-17874,88,0,0,-17962,-17874,-17874
ENOB,6/30/2019,4.58,4.21,-8.07860262008734,0,0,0,2498,8420,0,72,-10990,-7026,-18016,0,-18016,0,0,0,-18016,-18016,-18016
ENOB,6/30/2018,3.535,4.46,26.166902404526162,0,0,0,617,4694,0,18,-5329,-951,-6280,143,-6424,-112,0,0,-6312,-6312,-6312
ENOB,6/30/2017,6,4.3,-28.33333333333334,0,0,0,63,2323,0,15,-2400,219,-2181,26,-2208,-65,0,0,-2143,-2143,-2143
LFT,12/31/2019,3.22,3.27,1.5527950310558951,0,0,0,0,8765,0,0,-8765,38614,29849,23644,6205,-44,0,0,6249,6249,2664
LFT,12/31/2018,2.85,3.23,13.333333333333329,0,0,0,0,9975,0,0,-9975,47580,37605,41554,-3950,1522,0,0,-5471,-5471,-9000
LFT,12/31/2017,4,2.86,-28.500000000000004,0,0,0,0,12859,0,0,-12859,86712,73701,68994,4707,0,0,0,4707,4707,1185
LFT,12/31/2016,5,3.99,-20.199999999999996,0,0,0,0,14765,0,0,-14765,75732,60967,69533,-8567,0,0,0,-8567,-10427,-13949
ARCC,12/31/2019,18.69,16.89,-9.630818619582667,1237000,0,1237000,0,410000,0,0,827000,-18000,1100000,291000,809000,16000,0,0,793000,793000,793000
ARCC,12/31/2018,15.44,18.65,20.7901554404145,1097000,0,1097000,0,384000,0,0,713000,164000,1117000,240000,877000,19000,0,0,858000,858000,858000
ARCC,12/31/2017,15.81,15.58,-1.4547754585705277,935000,0,935000,0,405000,0,0,530000,156000,911000,225000,686000,19000,0,0,667000,667000,667000
ARCC,12/31/2016,16.44,15.92,-3.1630170316301784,826000,0,826000,0,311000,0,0,515000,-20000,681000,186000,495000,21000,0,0,474000,474000,474000
LEO,9/30/2008,7.22,7.36,1.9390581717451603,48853,5735,43118,0,910,0,0,42208,-76043,42208,894,41314,0,0,0,-34729,-34729,-44798
LEO,9/30/2007,7.22,7.36,1.9390581717451603,56275,5961,50315,0,863,0,0,49452,-28062,43565,1598,41968,0,0,0,19792,19792,9523
LEO,9/30/2006,7.22,7.36,1.9390581717451603,52434,5994,46440,0,876,0,0,45565,0,40257,1,40257,0,0,0,45564,45564,36633
LEO,9/30/2005,7.22,7.36,1.9390581717451603,59428,6076,53352,0,898,0,0,52454,0,39714,2,39712,0,0,0,52452,52452,46686
MAYS,7/31/2019,35.06,19.7794,-43.5841414717627,21140,11893,9247,0,5468,0,1961,1818,488,2305,201,2105,590,0,0,1515,1515,1515
MAYS,7/31/2018,39.2,35.06,-10.561224489795919,19301,11074,8226,0,4598,0,1776,1853,111,1964,233,1730,-1244,0,0,2974,2974,2974
MAYS,7/31/2017,37.5,39.55,5.466666666666659,19549,10213,9337,0,4616,0,1683,3038,95,3132,226,2907,981,0,0,1926,1926,1926
APYX,12/31/2019,8.41,7.2,-14.387633769322235,28235,9141,19094,3731,36232,0,0,-20869,1041,-19828,8,-19836,-130,0,0,-19706,-19706,-19706
APYX,12/31/2018,7.96,8.46,6.28140703517589,16605,5779,10826,2549,22553,0,0,-14276,-311,-14587,104,-14691,-3907,0,0,-10784,62719,62719
APYX,12/31/2017,2.58,6.48,151.16279069767444,10234,3276,6958,1941,18902,0,0,-13885,183,-13702,136,-13838,-156,0,0,-13682,-5062,-5062
APYX,12/31/2016,3.6,2.58,-28.333333333333332,8819,3703,5116,1033,15475,0,0,-11392,64,-11328,158,-11486,64,0,0,-11550,-3950,-3950
IPLDP,12/31/2019,25.7,26.45,2.918287937743191,2089600,1299200,790400,0,60900,0,326700,402800,42500,445300,126900,318400,24100,0,0,294300,294300,284100
IPLDP,12/31/2018,22.926,25.65,11.881706359591732,2042300,1354100,688200,0,53900,0,283500,350800,39600,390400,119400,271000,-3200,0,0,274200,274200,264000
IPLDP,12/31/2017,25.53,24,-5.992949471210345,1870300,1266200,604100,0,55000,0,245000,304100,24400,328500,112400,216100,-10900,0,0,227000,227000,216800
IPLDP,12/31/2016,24.2801,25.2404,3.9550907945189686,1820400,1278100,542300,0,53900,0,210800,277600,45500,323100,103200,219900,-5900,0,0,225800,225800,215600
BPYUP,12/31/2019,25.23,22.87,-9.353943717796271,1563968,611532,952436,0,37576,223142,501636,190082,718956,936580,678460,258120,9683,260016,-48031,663458,432880,432880
BPYUP,12/31/2018,22.09,25.11,13.671344499773651,2064034,688576,1375458,0,256751,57968,633063,427676,3144889,3558582,576700,2981882,-594186,573718,-73228,7086406,4090541,4090541
