Symbol,Period Ending,Next Period Start Opening Price (Period Ending + 1 Day),Next Period End Closing Price (Period Ending + 1 year),Price Percentage Change,Net Income,Depreciation,Net Income Adjustments,Accounts Receivable,Changes in Inventories,Other Operating Activities,Liabilities,Net Cash Flow-Operating,Capital Expenditures,Investments,Other Investing Activities,Net Cash Flows-Investing,Sale and Purchase of Stock,Net Borrowings,Other Financing Activities,Net Cash Flows-Financing,Effect of Exchange Rate,Net Cash Flow
GOGL,12/31/2019,5.79,4.63,-20.034542314335063,37189,115473,7050,41197,-23068,-81,-19329,158431,-44118,-29108,176,-73050,-4407,-236991,0,-294742,0,-209361
GOGL,12/31/2018,5.95,5.81,-2.3529411764705976,84535,121729,-2349,-10524,-7313,-8012,8480,186546,-158236,2538,14503,-141195,-1590,22972,0,-44730,0,621
GOGL,12/31/2017,8.08,6.16,-23.762376237623762,-2348,108529,-8108,27679,-22642,-2188,-7127,93795,-159548,-1000,143096,-17452,122523,-93628,0,28587,0,104930
GOGL,12/31/2016,4.7,8.44,79.57446808510637,-127711,100815,10045,5429,-68,-2797,-8510,-22797,-267535,-629,97837,-170327,205355,104232,0,308689,0,115565
ECF,9/30/2008,7.46,7.46,0.0,-24698,0,0,0,0,0,0,-24698,0,0,0,0,4022,0,0,-10758,0,-35455
ECF,9/30/2007,7.46,7.46,0.0,16996,0,0,0,0,0,0,16996,0,0,0,0,1893,0,0,-6308,0,10688
ECF,9/30/2006,7.46,7.46,0.0,7754,0,0,0,0,0,0,7754,0,0,0,0,501,0,0,-3314,0,4440
ECF,9/30/2005,7.46,7.46,0.0,10851,0,0,0,0,0,0,10851,0,0,0,0,507,0,0,-3135,0,7716
ENV,12/31/2019,70,82.29,17.557142857142868,-16782,101271,33344,1848,1139,0,-11674,108726,-19847,-5250,-350611,-375708,-12510,73146,-171,60465,-399,-206916
ENV,12/31/2018,48.3,69.63,44.161490683229815,5755,77626,34807,18055,-12890,0,-4223,117385,-20524,-1200,-219955,-241679,100637,253850,-2193,352294,-592,227408
ENV,12/31/2017,50,49.19,-1.6200000000000045,-3280,62820,39246,20062,-8121,0,-2477,108250,-14945,-1450,-12624,-29019,-6018,-63456,-2609,-72083,375,7523
ENV,12/31/2016,35.45,50.8,43.300423131170646,-55567,63999,51954,22502,1646,0,-1388,83146,-13967,-2238,-41722,-57927,-7484,-8000,-6861,-22345,0,2874
ZKIN,9/30/2019,1.22,1.2,-1.6393442622950836,8107,389,51,981,2388,-3847,0,8156,-880,0,-7687,-8568,0,-2324,559,-3736,-84,-4231
ZKIN,9/30/2018,3.03,1.23,-59.4059405940594,7018,408,249,6073,-7002,-9066,0,-2235,-467,0,-4687,-5154,0,-934,-894,3458,335,-3596
ZKIN,9/30/2017,8.76,3.2,-63.470319634703195,5874,438,137,1586,-3444,-3505,0,1146,-155,0,-7,-162,0,-1665,0,9969,201,11155
ZKIN,9/30/2016,7.61,8.65,13.66622864651774,5250,456,587,4692,-11464,-775,0,-1201,-124,0,0,-124,0,825,15,841,-19,-503
BHP,6/30/2019,58.92,49.73,-15.59742023082146,8306000,5829000,2656000,-6939000,748000,298000,230000,17871000,-7123000,-630000,10360000,2607000,-5220000,-2702000,-13000,-20528000,-170000,-220000
BHP,6/30/2018,48.74,58.44,19.901518260155918,3705000,6288000,2928000,-5393000,337000,-182000,-268000,18461000,-5853000,204000,-272000,-5921000,0,-4049000,-40000,-10891000,56000,1705000
