Symbol,Period Ending,Next Period Start Opening Price (Period Ending + 1 Day),Next Period End Closing Price (Period Ending + 1 year),Price Percentage Change,Net Income,Depreciation,Net Income Adjustments,Accounts Receivable,Changes in Inventories,Other Operating Activities,Liabilities,Net Cash Flow-Operating,Capital Expenditures,Investments,Other Investing Activities,Net Cash Flows-Investing,Sale and Purchase of Stock,Net Borrowings,Other Financing Activities,Net Cash Flows-Financing,Effect of Exchange Rate,Net Cash Flow
TEX,12/31/2019,30.06,34.89,16.067864271457093,54400,49600,146800,-220100,176100,20300,-53700,173400,-108900,30700,182000,103800,-7400,-43900,-21000,-103700,-5500,168000
TEX,12/31/2018,26.87,29.78,10.829921845924822,113700,59700,131100,213200,-107900,-284200,-31400,94200,-103800,19300,-1400,-85900,-427500,232200,-19600,-244900,-21400,-258000
TEX,12/31/2017,48.43,27.57,-43.07247573817882,128700,66500,44300,25000,-500,-33500,-77500,153000,-43500,783200,795900,1535600,-924900,-583400,-68700,-1606500,46100,128200
TEX,12/31/2016,32.13,48.59,51.22938064114534,-176100,96700,197500,-21000,33000,97300,149100,377100,-73000,0,61200,-11800,-82700,-188600,-8900,-310200,-19700,35400
TFC,12/31/2019,56.41,47.93,-15.032795603616375,3224000,630000,-999000,0,0,0,-1716000,1520000,0,2086000,6262000,8348000,-42000,4112000,2742000,5353000,0,15221000
TFC,12/31/2018,42.86,56.32,31.40457302846477,3237000,555000,704000,0,0,0,-597000,4349000,0,-4528000,-435000,-4963000,-1205000,476000,3609000,1502000,0,888000
TFC,12/31/2017,50,43.32,-13.36,2394000,550000,1072000,0,0,0,-135000,4635000,0,-5278000,-132000,-5410000,-1613000,4962000,-2719000,-549000,0,-1324000
TFC,12/31/2016,47.45,49.92,5.205479452054792,2426000,555000,-4000,0,0,0,-310000,3115000,0,-621000,-355000,-976000,-70000,-5552000,4832000,-1882000,0,257000
SFST,12/31/2019,42.46,35.35,-16.745171926519077,27858,2320,-14950,4074,0,0,-1020,18282,-8431,-262152,-5000,-275583,1769,82487,227988,312244,0,54943
SFST,12/31/2018,32.13,42.49,32.244008714596944,22289,2192,-2627,1946,0,0,210,31703,-1943,-299897,132,-301708,900,-17200,267013,250713,0,-19292
SFST,12/31/2017,41.4,32.07,-22.536231884057965,13045,2042,-3309,1931,0,0,1721,17193,-5381,-227282,-6352,-239015,25463,-48000,289972,267435,0,45613
SFST,12/31/2016,36,41,13.88888888888889,13036,1832,-2528,2565,0,0,-1511,17089,-5428,-135678,1187,-139919,1098,0,105418,106516,0,-16314
CPRX,12/31/2019,3.8,3.34,-12.105263157894738,31875,298,3534,14043,-10537,-1901,-2701,34611,-19,37244,0,37225,1116,0,0,1116,0,72952
CPRX,12/31/2018,1.9,3.75,97.36842105263159,-34004,38,3108,5243,0,-56,-476,-26148,-92,-14991,0,-15083,298,0,-4,293,0,-40937
CPRX,12/31/2017,3.94,1.92,-51.26903553299493,-18412,46,2595,2155,0,0,-126,-13743,0,-4,0,-4,57350,0,0,57350,0,43604
CPRX,12/31/2016,1.04,4.01,285.5769230769231,-18072,43,950,-1341,0,0,457,-17964,-96,-69,3717,3553,80,0,-11,69,0,-14342
DAL,12/31/2019,58.93,40.21,-31.766502630239266,4767000,2581000,551000,685000,-775000,-139000,755000,8425000,-4936000,315000,58000,-4563000,-2027000,487000,-360000,-2880000,0,982000
DAL,12/31/2018,49.25,58.48,18.74111675126903,3935000,2329000,574000,198000,108000,324000,-454000,7014000,-5168000,649000,126000,-4393000,-1575000,693000,65000,-1726000,0,895000
DAL,12/31/2017,56.29,49.9,-11.351927518209273,3205000,2222000,-1060000,1638000,-428000,-397000,-157000,5023000,-3891000,-1586000,211000,-5266000,-1677000,1196000,482000,-730000,0,-973000
DAL,12/31/2016,49.37,56.74,14.928093984200942,4195000,1886000,1401000,653000,-134000,-140000,-646000,7215000,-3391000,979000,257000,-2155000,-2601000,-1259000,109000,-4260000,0,800000
HASI,12/31/2019,32.26,63.43,96.62120272783633,81564,10028,-68922,5184,13241,0,-11962,29489,0,-203100,1959,-201141,138383,185840,-18932,218885,0,47233
HASI,12/31/2018,19.05,32.18,68.9238845144357,41577,15253,-11350,6882,12685,0,-6475,58793,-27549,78854,-505,50800,187265,-270049,-14644,-168417,0,-58824
HASI,12/31/2017,24.06,19.05,-20.822942643391514,30856,13171,-25357,-327,-1201,0,-5604,11717,-170982,-125484,-1414,-297880,96899,341923,-25392,345196,0,59033
HASI,12/31/2016,19.18,24.01,25.182481751824827,14652,7658,-77,3312,44189,0,-12983,56855,-17693,-171658,-1280,-190631,177294,-1246,-12863,113704,0,-20072
TGP,12/31/2019,15.61,11.46,-26.585522101217162,211609,144900,-13793,0,0,0,3218,298929,-97895,-72391,11515,-158771,-25728,-385,0,-109731,0,30427
TGP,12/31/2018,10.9,15.56,42.75229357798165,81915,133098,-47993,0,0,0,19218,131198,-686148,24776,28518,-632854,-3786,474073,0,385085,0,-116571
TGP,12/31/2017,20.3,11.02,-45.714285714285715,43754,111641,60594,0,0,0,-2396,218750,-708608,-170731,112900,-766439,164411,546751,-605,643951,0,96262
TGP,12/31/2016,14.5,20.4,40.68965517241379,202758,95542,-49284,0,0,0,-9861,194362,-345790,-97229,99811,-343208,120707,109643,0,178019,0,29173
ASLN,12/31/2019,2.09,1.83,-12.4401913875598,-47066,445,24189,-4045,151,0,115,-25803,-3,0,8,5,16085,3250,-243,19091,0,-6706
ASLN,12/31/2018,3.95,2.03,-48.607594936708864,-42186,242,1009,1294,268,0,-112,-39470,-80,0,-23014,-23094,36839,4060,0,40899,0,-21664
ASLN,12/31/2017,6.15,3.6,-41.463414634146346,-39892,210,1910,1980,1657,0,18,-34117,-291,0,-45,-336,33061,229,0,33289,0,-1164
ASLN,12/31/2016,6.15,5.61,-8.780487804878048,-9049,76,1703,2780,-1247,0,-52,-5789,-374,0,-149,-523,31364,-377,0,30987,0,24675
INFO,11/30/2019,72.91,99.46,36.41475792072418,502700,573100,60100,143100,-67900,0,43500,1251300,-278100,-2100,-154800,-271500,-309800,-557200,-77800,-958000,-30300,-8500
INFO,11/30/2018,53.95,72.11,33.660797034291,542300,541200,21000,146200,-11800,0,53700,1289500,-222700,-7000,-1882400,-2112100,-452600,1494400,-138000,873000,-64200,-13800
INFO,11/30/2017,44.81,53.37,19.102878821691576,416900,492500,168200,-54100,-27500,0,-34600,961500,-260200,14500,-400600,-646300,-1035700,813300,-92500,-329300,9000,-5100
TEO,12/31/2019,11.4,6.56,-42.4561403508772,-8394,106,272,783,-323,0,0,-7556,-4,2,0,-2,97,0,0,97,0,-7461
TEO,12/31/2018,15.57,11.35,-27.1034039820167,-6813,101,7937,729,-123,0,0,-5499,-8,7362,0,7355,8907,0,0,8907,0,10763
TEO,12/31/2017,36.76,15.56,-57.67138193688791,-8840,201,386,-4998,1110,0,0,-12141,-5,3754,0,3749,0,0,0,0,0,-8391
TEO,12/31/2016,18.17,37.26,105.06329113924048,-43924,672,25461,1896,24,0,0,-15871,-3,22135,75,22207,0,0,0,0,0,6336
CSX,12/31/2019,72.82,90.75,24.62235649546829,3331000,1349000,53000,4000,45000,0,68000,4850000,-1657000,-730000,285000,-2102000,-3373000,1482000,6000,-2648000,0,100000
CSX,12/31/2018,60.76,72.36,19.091507570770247,3309000,1331000,-7000,-47000,-46000,0,101000,4641000,-1745000,-231000,292000,-1684000,-4671000,2981000,-59000,-2500000,0,457000
CSX,12/31/2017,55.63,62.13,11.684342980406255,5471000,1315000,-3349000,104000,-70000,0,1000,3472000,-2040000,411000,134000,-1495000,-1970000,517000,-18000,-2179000,0,-202000
CSX,12/31/2016,36.15,56.34,55.85062240663902,1714000,1301000,-43000,98000,84000,0,-113000,3041000,-2398000,396000,204000,-1798000,-1056000,781000,-313000,-1268000,0,-25000
SACH,12/31/2019,4.32,4.16,-3.703703703703707,6196,64,1230,439,245,0,-57,8116,-1509,-37396,1087,-37818,30627,27440,0,48385,0,18683
SACH,12/31/2018,3.91,4.34,10.99744245524296,7772,33,167,-828,-1004,0,76,6216,-1252,-17431,1849,-16835,0,16772,-160,9824,0,-795
SACH,12/31/2017,3.91,3.91,0.0,4861,87,0,231,-218,0,-116,4845,-665,-29519,1254,-28930,25185,1632,0,23477,0,-608
SACH,12/31/2016,4.9,3.9,-20.40816326530613,3051,48,88,797,-286,0,0,3697,-1283,-6718,1060,-6942,625,2348,0,2972,0,-272
FOE,12/31/2019,15.09,14.63,-3.0483764082173566,7415,59634,49515,-2059,-73240,-10578,-12977,17710,-64970,84567,1706,21303,-23948,-8200,-7092,-39195,283,101
FOE,12/31/2018,15.36,14.83,-3.4505208333333295,80946,57551,22097,36051,18441,-33922,1629,182793,-80619,7020,-74917,-148516,-28043,77865,-17912,9367,-2894,40750
FOE,12/31/2017,23.64,15.68,-33.67174280879865,57768,53581,39533,3752,-32951,-46962,10069,84790,-50552,2268,-130627,-178911,4526,140879,-4481,108363,3727,17969
FOE,12/31/2016,14.58,23.8,63.23731138545954,-19887,48158,59717,12788,-24899,-10271,-2976,62630,-24945,0,-125877,-150822,-10289,88555,-154,81997,-6603,-12798
VKQ,10/31/2008,11.75,11.825,0.6382978723404195,-143623,154729,28892,-9146,153,0,764,22141,0,174849,0,174849,-69109,-97133,0,-196935,0,56
VKQ,10/31/2007,11.75,11.825,0.6382978723404195,4307,32432,-116661,-16433,13824,0,-118,-94688,0,0,0,0,-4247,129928,0,94578,0,-110
VKQ,10/31/2006,11.75,11.825,0.6382978723404195,59169,0,0,0,0,0,0,47785,0,0,0,0,0,0,0,-40604,0,7181
VKQ,10/31/2005,11.75,11.825,0.6382978723404195,21535,0,0,0,0,0,0,14879,0,0,0,0,49914,0,0,17368,0,32247
CPT,12/31/2019,106.65,99.92,-6.310360993905301,222411,336274,-43041,0,0,0,38094,555597,-407558,-434911,32827,-792445,353213,181284,3500,220744,0,-16104
CPT,12/31/2018,87.26,106.1,21.59064863625944,163964,300946,32554,0,0,0,9553,503747,-359230,-280530,-15664,-640921,-14668,113193,2452,-197028,0,-334202
CPT,12/31/2017,91.97,88.05,-4.262259432423618,202921,263974,-25332,0,0,0,-4846,434656,-299086,39745,64459,-189754,445038,-279977,2777,-112923,0,131979
CPT,12/31/2016,84.19,91.5,8.682741418220694,838226,250146,-645590,0,0,0,281,443063,-342952,-104063,1134847,690412,0,-247077,6203,-904237,0,229238
DGICB,12/31/2019,12.1364,11.81,-2.6894301440295276,47152,5573,-22280,23176,-40284,0,63022,76360,-150,-62755,0,-43377,4835,-25000,0,-36258,0,-3276
DGICB,12/31/2018,11.8,12.75,8.050847457627112,-32760,6610,2108,-4291,-41678,0,133788,63776,-106,-50703,0,-37606,3250,1000,0,-11409,0,14761
DGICB,12/31/2017,15.222,11.8,-22.480620155038753,7116,6110,-7327,43627,-46329,0,77803,81000,-1091,-67434,0,-58443,15511,-10000,0,-9311,0,13246
DGICB,12/31/2016,17.2,15.222,-11.5,30801,6587,-3612,30855,-30868,0,26267,60030,-384,-106665,0,-51318,13822,-12000,0,-12264,0,-3552
CQP,12/31/2019,39.98,35.25,-11.830915457728857,1175000,561000,-38000,-122000,25000,-16000,-38000,1547000,-1331000,0,-1000,-1332000,0,1500000,1000,206000,0,421000
CQP,12/31/2018,35.66,39.81,11.637689287717347,1274000,454000,144000,96000,-75000,-5000,-14000,1874000,-804000,0,0,-804000,0,10000,-7000,-1118000,0,-48000
CQP,12/31/2017,29.7,36.1,21.548821548821557,490000,375000,79000,190000,-163000,13000,-7000,977000,-1290000,0,0,-1290000,0,1641000,0,1297000,0,984000
CQP,12/31/2016,28.84,29.84,3.4674063800277395,-171000,186000,17000,220000,-188000,-58000,-6000,0,-2315000,0,-38000,-2353000,0,2752000,-14000,2524000,0,171000
TRQ,12/31/2019,7.492,12.42,65.77682861719167,-476918,0,0,0,0,0,0,-11652,-1308073,0,1375000,66927,0,0,-6488,-6488,131,48918
TRQ,12/31/2018,16.6,7.362,-55.65060240963856,394274,0,0,0,0,0,0,179968,-1304347,0,1270616,-33731,0,0,12898,12898,-851,158284
TRQ,12/31/2017,34.6,16.5,-52.3121387283237,110928,0,0,0,0,0,0,118000,-917541,0,821275,-96266,0,0,5076,5076,219,27029
TRQ,12/31/2016,32.6,35.6,9.202453987730062,106622,0,0,0,0,0,0,230649,-326336,0,-3960135,-4286471,0,0,4128632,4128632,1066,73876
K,12/28/2019,68.91,62.34,-9.534175010883752,960000,484000,-173000,-9000,-145000,2000,40000,1176000,-586000,64000,1296000,774000,-156000,-936000,-9000,-1905000,31000,76000
K,12/29/2018,57.19,68.78,20.265780730897017,1336000,516000,-275000,115000,76000,-86000,-154000,1536000,-578000,-397000,27000,-948000,-153000,624000,-11000,-566000,18000,40000
K,12/30/2017,68.03,57.01,-16.19873585183008,1254000,481000,-292000,193000,-1300000,80000,-13000,403000,-501000,1236000,-586000,149000,-419000,398000,0,-604000,53000,1000
K,12/31/2016,73.71,67.97,-7.787274453941115,699000,517000,357000,124000,-480000,7000,46000,1271000,-507000,526000,-411000,-392000,-58000,1050000,-144000,-786000,-64000,29000
BATL,12/31/2019,13.45,8.3,-38.289962825278806,-1166513,112901,1055051,-16908,-6790,0,-3818,-26077,-298887,0,1680,-297207,152932,133765,-2997,286693,0,-36591
BATL,12/31/2018,16.63,13.45,-19.122068550811786,45959,79220,-86593,22351,378,0,5840,67155,-926537,0,220052,-706485,60459,201666,-3021,262125,0,-377205
BATL,12/31/2017,16.63,16.63,0.0,535686,114599,-557487,-77685,103166,0,-3688,114591,-1428555,0,2027147,598592,386142,-591625,-13913,-289136,0,424047
BATL,12/31/2016,16.63,16.63,0.0,-467235,177846,557202,-13318,27461,0,-3472,278484,-289776,0,-1040,-290816,-511,4841,0,4330,0,-8002
JWN,2/2/2019,45.49,37.52,-17.520334139371286,564000,594000,56000,26000,-4000,15000,45000,1296000,-654000,0,1000,-653000,-515000,-56000,-46000,-867000,0,-224000
JWN,2/3/2018,47.58,45.82,-3.6990332072299243,437000,584000,88000,270000,1000,-62000,82000,1400000,-731000,16000,31000,-684000,-172000,-81000,-42000,-542000,0,174000
JWN,1/28/2017,42.76,50.89,19.013096351730596,354000,569000,273000,269000,-3000,31000,165000,1658000,-846000,0,55000,-791000,-194000,-6000,1000,-455000,0,412000
BCML,12/31/2019,22.85,15.17,-33.610503282275715,17318,-894,-14133,15727,-12041,0,85,6956,-1399,-35667,37993,927,-10957,0,-25125,-36082,0,-28199
BCML,12/31/2018,22.7,22.74,0.17621145374448965,14493,-338,-7222,-83,-848,0,-103,6237,-1013,625,-10863,-11251,66761,-6000,17981,78742,0,73728
BCML,12/31/2017,19.35,23.09,19.328165374676992,5260,-979,-33,2953,990,0,158,9328,-368,8031,82747,90410,-24,-9895,31350,21431,0,121169
BCML,12/31/2016,15.7,19.45,23.88535031847134,5912,-805,1791,-1143,-212,0,-30,6318,-214,-32509,-8,-32731,-530,0,47455,46925,0,20512
UBOH,12/31/2019,23.1,25.44,10.12987012987013,10661,1749,-7870,-941,0,0,-1259,3623,-753,-25391,68,-26076,-24,-6693,40809,32390,0,9937
UBOH,12/31/2018,20,22.71,13.550000000000006,8220,585,-3322,610,0,0,-944,5149,-525,-54566,-3351,-58442,39,8295,35728,42494,0,-10799
UBOH,12/31/2017,22.078,20.02,-9.32149651236525,3846,926,240,-2698,0,0,-519,5860,-4182,-13260,-22423,-39865,27,38374,10261,47093,0,13088
UBOH,12/31/2016,21.415,22,2.731730095727298,5521,1356,-827,572,0,0,-354,6613,-2399,-34441,967,-35873,-815,16656,6129,20524,0,-8736
XHR,12/31/2019,21.8,15.2,-30.27522935779817,55400,157782,34712,2915,-1764,0,-4318,246570,-283060,0,60172,-222888,0,136537,-598,9656,0,33338
XHR,12/31/2018,16.92,21.61,27.718676122931427,193688,160711,-113769,1103,4104,0,3513,254194,-462359,0,412557,-49802,122000,-167610,-1021,-173188,0,31204
XHR,12/31/2017,21.67,17.2,-20.627595754499318,98862,156287,-39593,-3016,-1909,0,229,212814,-691911,0,204353,-487558,-4103,246328,-1861,118121,0,-156623
XHR,12/31/2016,19.51,21.93,12.403895438236791,85855,156667,-6037,-12631,1470,0,3244,229443,-174823,0,275600,100777,-73635,-47515,-5374,-242944,0,87276
ADS,12/31/2019,113.46,74.1,-34.69063987308303,278000,292700,667900,-219200,4100,0,194200,1217700,-142300,-2547000,5535000,2860800,-963700,-2882100,-73100,-4091700,3600,-9600
ADS,12/31/2018,148.01,112.2,-24.194311195189506,963100,534600,1113100,-61400,-93000,0,298500,2754900,-199800,-2791700,1119500,-1872000,-425600,-610000,-31300,-1217900,-12000,-347000
ADS,12/31/2017,254.29,150.08,-40.98076998702268,788700,541600,1101400,115500,-10300,0,62200,2599100,-225400,-3659100,-383600,-4268100,-535300,4750700,-29300,4004900,10300,2346200
ADS,12/31/2016,231.19,255.33,10.441628098101136,515800,546800,1270700,-93800,-95600,0,-18500,2127200,-207000,-3484600,-599900,-4291500,-1141100,3865200,-22800,2637400,14000,487100
VGR,12/31/2019,13.47,11.65,-13.511507052709726,100974,17851,45617,-5536,-7950,-7767,-19159,124071,-12575,-10436,-88,-23099,0,-59257,-5631,-313225,0,-212253
VGR,12/31/2018,9.1429,13.39,46.45243850419453,58105,18807,85917,23524,-13372,-1207,10158,181834,-17682,71124,-9979,43463,0,292783,0,55495,0,280792
VGR,12/31/2017,20.3447,9.2667,-54.451527916361506,84572,18614,29564,9539,-17492,43,568,131586,-19869,-11048,-5045,-35962,43230,6972,0,-183265,0,-87641
VGR,12/31/2016,19.6437,20.3719,3.7070409342435546,71127,22359,59331,-33890,-5809,-3317,-18304,97636,-26691,16657,-279,-10313,646,271935,0,56068,0,143391
HLF,12/31/2019,47.94,48.05,0.22945348352106681,311000,97700,111000,6100,-14400,-68600,14700,457500,-106100,0,-1900,-108000,-16700,-699500,3200,-713000,-4000,-367500
HLF,12/31/2018,58.45,47.67,-18.44311377245509,296600,100400,172200,151300,2800,-83300,8400,648400,-84000,0,100,-83900,-750300,128200,3000,-593100,-51900,-80500
HLF,12/31/2017,33.86,58.95,74.09923213230952,213900,99800,225100,-16100,-22200,37900,52400,590800,-95500,0,300,-95200,-844200,779500,2100,-85200,28200,438600
HLF,12/31/2016,24.36,34.56,41.87192118226602,260000,98300,67300,32000,0,-71600,-18700,367300,-143400,0,1000,-142400,-13200,-238800,-300,-252300,-20100,-47500
MESA,9/30/2019,6.78,2.95,-56.48967551622419,47580,77076,29086,14232,-9275,-6310,-713,151676,-125350,20077,431,-104842,-1686,-72429,0,-81467,0,-34633
MESA,9/30/2018,13.9,6.745,-51.47482014388489,33255,65242,4031,15008,-5437,-744,7584,118939,-117989,-19921,-653,-138563,106713,-34450,0,66411,0,46787
MESA,9/30/2017,12,13.21,10.083333333333341,32828,53111,22669,-13789,530,-3379,-17243,74727,-84500,0,424,-84076,-1043,32917,0,28497,0,19148
VRTS,12/31/2019,122.92,217,76.5375854214123,4390,0,0,5325,360,0,-351,9723,0,0,0,0,0,2000,0,2000,0,11723
VRTS,12/31/2018,77.74,121.72,56.57319269359404,5031,0,0,737,-1254,0,-341,4173,0,0,0,0,705346,0,-13800,691546,0,695719
VRTS,12/31/2017,115.3,79.43,-31.110147441457062,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VRTS,12/31/2016,119.2,114.85,-3.6493288590604096,-303,0,0,0,-25,0,303,-25,0,0,0,0,25,0,0,25,0,0
COHR,9/29/2019,151.54,110.68,-26.96317803880163,53825,121032,25635,-132499,82078,17805,13525,181401,-83283,-3423,-13587,-100293,-65599,263,-15179,-80515,-5977,-5384
COHR,9/29/2018,173.35,153.72,-11.32391116238823,247358,122946,52896,-47559,-47020,-78123,-14387,236111,-90757,32344,-9323,-67736,-89426,-173252,-36320,-298998,-2419,-133042
COHR,9/30/2017,235.41,172.59,-26.68535746145023,207122,111447,15634,125868,-52516,-11419,-7129,384116,-63774,-7231,-739283,-810288,8111,539149,-15717,505988,22924,102740
UTF,12/31/2008,16.35,16.53,1.1009174311926586,-583367,0,0,0,0,0,0,-583367,0,0,0,0,-5,0,0,-125049,0,-708416
UTF,12/31/2007,16.35,16.53,1.1009174311926586,215305,0,0,0,0,0,0,215305,0,0,0,0,-1075,0,0,-166876,0,48429
UTF,12/31/2006,16.35,16.53,1.1009174311926586,289467,0,0,0,0,0,0,289467,0,0,0,0,77,0,0,-94726,0,194741
UTF,12/31/2005,16.35,16.53,1.1009174311926586,135693,0,0,0,0,0,0,118988,0,0,0,0,-799,0,0,-50834,0,68154
OPGN,12/31/2019,1.15,2.04,77.39130434782611,-12446,921,895,-1328,-195,70,577,-11505,-32,-2500,29,-2503,13062,-894,0,12168,-4,-1844
OPGN,12/31/2018,26,1.13,-95.65384615384616,-13368,731,982,159,433,-11,0,-11074,-148,0,10,-137,14128,-283,0,13845,13,2647
OPGN,12/31/2017,98.05,26,-73.4829168791433,-15419,669,1039,-177,-260,161,-316,-14304,-277,0,0,-277,12640,-292,0,12348,-38,-2270
OPGN,12/31/2016,580,93.35,-83.90517241379311,-19167,656,1070,-230,136,20,264,-17251,-124,0,0,-124,13890,-226,0,13665,13,-3697
LXP,12/31/2019,10.63,10.62,-0.0940733772342574,279910,154085,-254062,3098,3770,0,0,192184,-691171,8284,495922,-186965,194912,-118957,-3505,-53156,0,-47937
LXP,12/31/2018,8.1,10.62,31.111111111111107,227415,172088,-180221,-1020,-3942,0,0,217811,-331465,-7636,893992,554891,-50035,-478605,-5,-707611,0,65091
LXP,12/31/2017,9.63,8.21,-14.745586708203529,85583,177561,-38117,-1125,2922,0,0,227870,-657029,156628,217327,-283074,8853,217397,-1326,49581,0,-5623
LXP,12/31/2016,10.85,9.57,-11.79723502304147,95624,170038,-24004,-849,-1825,0,0,239810,-304397,-47699,363480,11384,3213,-65649,-5603,-237301,0,13893
BBDC,12/31/2019,10.3,9.2,-10.67961165048545,58192,-553,-95097,1646,747,0,3007,-31504,0,0,0,0,-23357,91353,0,41069,0,9565
BBDC,12/31/2018,8.96,10.28,14.73214285714284,-114282,-1718,-65831,-9914,-5992,0,-2269,-198287,0,0,31,31,48838,-2911,-6019,18833,0,-179423
BBDC,12/31/2017,9.54,9.01,-5.555555555555549,-28650,-4234,31779,2651,2383,0,-195,7967,-41,0,0,-41,131996,24089,-2180,76835,0,84762
BBDC,12/31/2016,18.47,9.65,-47.75311315646995,34256,-2637,-47818,-3564,-5298,0,-713,-23136,-71,0,0,-71,129126,19478,-4450,77679,0,54472
PRGS,11/30/2019,41.95,40.1,-4.4100119189511355,26400,56679,33460,38502,-24655,0,-1902,128484,-3998,14770,-219152,-208380,-15735,179676,-4278,130292,-1263,49133
PRGS,11/30/2018,35.49,41.13,15.891800507185122,49670,44502,24040,-5236,18708,0,-10332,121352,-7250,14843,0,7593,-110795,-6188,-3999,-146771,-10512,-28338
PRGS,11/30/2017,41.34,35.16,-14.949201741654587,29021,42896,9457,2448,14346,0,7518,105686,-3377,-8821,-75593,-87791,-63911,-11250,-3756,-103314,11847,-73572
PRGS,11/30/2016,29.74,41.34,39.00470746469403,-55726,39321,120354,2174,647,0,-3925,102845,-5786,-15216,0,-21002,-69270,-9375,-3984,-82193,-4993,-5343
ESI,12/31/2019,11.8,17.73,50.25423728813559,92900,154700,-4100,-64700,21800,-3800,-187800,170900,-29700,0,4229400,4199700,-507100,-3882900,-8400,-4438900,4800,-225400
ESI,12/31/2018,10.17,11.68,14.847590953785641,-319900,156700,192000,-16100,900,-18800,-10900,-800,-28400,25000,-20400,-23800,0,2500,-2500,-1400,-27000,-68300
ESI,12/31/2017,10.01,10.33,3.1968031968031996,-295600,156000,90600,-800,-21500,-9200,128400,-34300,-30800,0,11900,-18900,0,20200,700,-1700,33100,60400
ESI,12/31/2016,9.9,10.34,4.444444444444439,-73700,167400,-110700,17300,-42400,7600,202500,-38000,-32600,0,6500,-26100,-68500,-51900,-600,-130500,-17500,-9100
EPR,12/31/2019,70.96,32.5,-54.19954904171364,202243,177612,36174,27540,-1952,0,-2087,439530,-635215,66145,665575,96505,295133,48961,0,-23223,121,512933
EPR,12/31/2018,63.56,70.64,11.139081183134042,266983,158646,70181,4979,-23380,0,6919,484328,-462416,343470,22134,-96812,-6262,-78976,0,-427553,-442,-40479
EPR,12/31/2017,65.64,64.03,-2.45277269957343,262968,139006,-16457,260,8125,0,4370,398272,-782005,-112242,192175,-702072,111800,533387,0,333466,241,29907
EPR,12/31/2016,72.19,64.49,-10.666297271090182,224982,112543,-386,17025,-40310,0,-8492,305362,-633017,-57600,28470,-662147,136929,499867,0,371134,-131,14218
TLSA,12/31/2019,1.152,2.02,75.34722222222224,-9323,253,1586,413,-287,0,1251,-6796,-4,0,0,-4,0,1880,-200,1680,16,-5120
TLSA,12/31/2018,1.36,1.08,-20.58823529411765,-7934,16,527,2123,0,0,2611,-4602,0,0,0,0,11426,0,0,10091,-249,5489
TLSA,12/31/2017,2.1,1.49,-29.04761904761905,-8593,13,601,2304,0,0,54,-7533,-1,0,0,-1,1542,0,0,1542,254,-5992
TLSA,12/31/2016,2.1,1.67,-20.47619047619048,-9770,11,1659,1174,0,0,121,-6926,-48,-294,0,-342,614,961,0,1575,-1633,-5693
UUU,3/31/2019,1.37,0.38,-72.26277372262774,-1348,20,1050,1642,-131,-1360,133,6,0,0,0,0,0,240,0,240,0,246
UUU,3/31/2018,1.35,1.36,0.7407407407407414,-2262,31,1323,2649,-628,-792,214,535,-16,0,0,-16,0,-653,0,-653,0,-134
UUU,3/31/2017,3.05,1.3,-57.377049180327866,-2059,30,1018,83,-328,-817,-80,-2153,0,0,103,103,0,1950,0,1950,0,-100
PFG,12/31/2019,55.43,49.61,-10.499729388417824,1394200,598200,94900,3811100,-298000,0,-157100,5493200,-132400,-7556100,0,-7688500,-245000,530200,2054500,1733700,0,-461600
PFG,12/31/2018,43.29,55,27.05012705012705,1546500,482400,121200,3884900,9100,0,-894800,5156500,-92300,-5610200,0,-5702500,-638700,88000,2202000,1052700,0,506700
PFG,12/31/2017,71.18,44.17,-37.946052261871316,2310400,430300,-590900,3132400,-144200,0,-964100,4188000,-164800,-3888000,0,-4052800,-71200,-69200,296400,-384000,0,-248800
PFG,12/31/2016,58.61,70.38,20.081897287152355,1316500,471700,83500,2186100,63700,0,-309000,3857800,-154900,-4999000,0,-5153900,-241900,-274600,2432300,1450900,0,154800
TRUE,12/31/2019,4.8,4.2,-12.499999999999993,-54890,31566,42310,-39,1440,0,-43,20344,-11284,-23174,0,-34458,2859,0,-3339,-480,0,-14594
TRUE,12/31/2018,8.91,4.75,-46.68911335578002,-28321,22661,39306,4747,-10039,0,-3521,24833,-17099,800,-26891,-43190,19757,0,-3034,16723,0,-1634
TRUE,12/31/2017,11.29,9.06,-19.75199291408325,-32849,22391,32008,2759,-3687,0,1496,22118,-19809,0,0,-19809,90941,0,-3209,87732,0,90041
TRUE,12/31/2016,12.42,11.38,-8.373590982286627,-41708,23169,27521,-368,-4391,0,-1455,2768,-16639,0,0,-16639,9012,0,209,9221,0,-4650
PGC,12/31/2017,35.16,25.18,-28.384527872582474,44170,9169,20886,2330,-1362,0,-10795,64248,-1059,-294948,-12866,-297707,17409,70102,286517,330335,0,-49244
PGC,12/31/2016,31.2,35.26,13.01282051282051,26477,7602,5618,2935,-1333,0,24,42926,-3218,-430525,568,-433175,23613,-13904,476367,482780,0,92531
HEPA,12/31/2019,5.41,2.19,-59.51940850277264,-6719,513,-605,-424,0,0,-330,-7565,-51,0,0,-51,19826,-1119,0,18707,0,11091
HEPA,12/31/2018,20.4059,5.36,-73.73308699934823,-9449,19,-5245,-898,0,0,-73,-15646,0,0,1,1,12192,1331,-1000,12524,0,-3122
